,ID,Total Number of LORs,Invalid Number of LORs,Similarity Score,Cyclic LOR
0,0.0,2.0,0,0.844969023,0.0
1,1.0,4.0,1,0.887694966,0.0
2,2.0,5.0,2,0.887838419,0.0
3,3.0,2.0,1,0.690538762,1.0
4,4.0,7.0,1,0.810092925,0.0
5,5.0,5.0,1,0.634240037,0.0
6,6.0,2.0,1,0.79417988,0.0
7,7.0,3.0,1,0.81667851,1.0
8,8.0,3.0,1,0.683892284,0.0
9,9.0,5.0,1,0.909705767,0.0
10,10.0,3.0,1,0.87930864,0.0
11,11.0,2.0,1,0.648174131,1.0
12,12.0,2.0,1,0.731714954,0.0
13,13.0,2.0,1,0.633257836,0.0
14,14.0,1.0,0,0.744314361,0.0
15,15.0,6.0,1,0.858571312,0.0
16,16.0,2.0,1,0.905356015,0.0
17,17.0,4.0,1,0.894596733,0.0
18,18.0,3.0,1,0.635818659,0.0
19,19.0,2.0,1,0.718700053,0.0
20,20.0,2.0,1,0.898538261,0.0
21,21.0,1.0,0,0.679790432,0.0
22,22.0,3.0,1,0.687734905,0.0
23,23.0,3.0,1,0.751937526,0.0
24,24.0,3.0,1,0.671615942,0.0
25,25.0,1.0,0,0.86688953,0.0
26,26.0,1.0,0,0.816591732,0.0
27,27.0,3.0,1,0.75604662,0.0
28,28.0,4.0,1,0.831237973,0.0
29,29.0,3.0,1,0.882672308,0.0
30,30.0,5.0,1,0.895411043,0.0
31,31.0,6.0,1,0.84540917,0.0
32,32.0,5.0,1,0.789375656,0.0
33,33.0,2.0,1,0.651393571,0.0
34,34.0,1.0,0,0.807237353,0.0
35,35.0,7.0,1,0.860678855,1.0
36,36.0,2.0,1,0.715735355,0.0
37,37.0,3.0,1,0.62384316,0.0
38,38.0,3.0,1,0.728511607,1.0
39,39.0,2.0,1,0.739382692,0.0
40,40.0,4.0,1,0.636279744,0.0
41,41.0,6.0,2,0.635985988,1.0
42,42.0,5.0,1,0.851878222,0.0
43,43.0,6.0,1,0.905661299,0.0
44,44.0,5.0,1,0.604454146,0.0
45,45.0,1.0,0,0.732135132,0.0
46,46.0,2.0,1,0.623319635,0.0
47,47.0,5.0,1,0.648413861,0.0
48,48.0,1.0,0,0.76059508,0.0
49,49.0,3.0,1,0.75652173,0.0
50,50.0,4.0,1,0.680193471,0.0
51,51.0,2.0,1,0.88719274,0.0
52,52.0,1.0,0,0.823455394,0.0
53,53.0,1.0,0,0.89689438,0.0
54,54.0,3.0,1,0.694783697,0.0
55,55.0,2.0,1,0.7799383,0.0
56,56.0,5.0,1,0.760092679,0.0
57,57.0,4.0,1,0.857532554,0.0
58,58.0,3.0,1,0.784468319,0.0
59,59.0,4.0,1,0.821900572,0.0
60,60.0,4.0,1,0.705733995,0.0
61,61.0,3.0,1,0.667530218,0.0
62,62.0,4.0,1,0.724780396,0.0
63,63.0,4.0,1,0.641729914,0.0
64,64.0,2.0,1,0.63445134,0.0
65,65.0,3.0,1,0.612802455,0.0
66,66.0,1.0,0,0.654684305,0.0
67,67.0,6.0,1,0.876913225,0.0
68,68.0,5.0,1,0.684223536,0.0
69,69.0,4.0,1,0.629150179,0.0
70,70.0,5.0,1,0.671269424,0.0
71,71.0,1.0,0,0.658742557,0.0
72,72.0,4.0,1,0.720969587,0.0
73,73.0,2.0,1,0.765611174,0.0
74,74.0,5.0,1,0.675997444,0.0
75,75.0,2.0,1,0.699071061,0.0
76,76.0,4.0,1,0.844458001,0.0
77,77.0,4.0,1,0.813325152,0.0
78,78.0,5.0,1,0.770785462,0.0
79,79.0,3.0,1,0.835005027,0.0
80,80.0,2.0,1,0.768884495,0.0
81,81.0,3.0,1,0.811559709,0.0
82,82.0,6.0,1,0.740583434,0.0
83,83.0,3.0,1,0.774354093,1.0
84,84.0,2.0,1,0.907014445,0.0
85,86.0,2.0,1,0.633279139,0.0
86,87.0,3.0,1,0.663750167,0.0
87,88.0,3.0,1,0.684889267,0.0
88,89.0,2.0,1,0.699984613,0.0
89,90.0,3.0,1,0.613117213,0.0
90,92.0,4.0,2,0.794320046,0.0
91,93.0,3.0,1,0.672139394,0.0
92,94.0,3.0,1,0.869443196,0.0
93,95.0,4.0,1,0.725331474,0.0
94,96.0,4.0,1,0.759030072,0.0
95,97.0,1.0,0,0.72058814,0.0
96,98.0,2.0,1,0.701627595,0.0
97,99.0,5.0,1,0.844428871,0.0
98,100.0,1.0,0,0.602009997,0.0
99,101.0,4.0,1,0.61864503,0.0
100,102.0,2.0,1,0.833547355,0.0
101,103.0,2.0,1,0.841561451,0.0
102,104.0,1.0,0,0.90391581,0.0
103,105.0,4.0,1,0.791027503,0.0
104,106.0,4.0,1,0.733782713,0.0
105,107.0,4.0,1,0.834394931,0.0
106,108.0,3.0,1,0.794831552,0.0
107,109.0,3.0,1,0.895525354,0.0
108,110.0,2.0,1,0.856146145,0.0
109,111.0,4.0,1,0.889293458,0.0
110,112.0,3.0,1,0.633467011,0.0
111,113.0,3.0,1,0.848152486,0.0
112,114.0,3.0,1,0.824845054,0.0
113,115.0,9.0,1,0.907174027,1.0
114,116.0,4.0,1,0.652425592,0.0
115,117.0,5.0,1,0.698934304,0.0
116,118.0,5.0,1,0.807160779,1.0
117,119.0,6.0,1,0.71154754,0.0
118,120.0,2.0,1,0.71573123,0.0
119,121.0,3.0,1,0.870243224,0.0
120,122.0,4.0,1,0.809730465,0.0
121,123.0,1.0,0,0.727898342,0.0
122,124.0,3.0,1,0.706261157,0.0
123,125.0,3.0,1,0.704054663,1.0
124,126.0,2.0,1,0.852608295,0.0
125,127.0,8.0,1,0.620330777,0.0
126,128.0,5.0,1,0.7234652,1.0
127,129.0,4.0,1,0.733442514,0.0
128,130.0,4.0,1,0.791892352,0.0
129,131.0,2.0,1,0.773903922,0.0
130,133.0,6.0,1,0.732397031,0.0
131,134.0,5.0,1,0.643270329,0.0
132,135.0,2.0,1,0.835933319,0.0
133,136.0,2.0,1,0.83322793,0.0
134,137.0,8.0,1,0.791192057,0.0
135,138.0,7.0,2,0.79754793,1.0
136,139.0,2.0,1,0.859428046,0.0
137,140.0,3.0,1,0.888566427,0.0
138,142.0,3.0,1,0.814831741,0.0
139,143.0,3.0,1,0.887010337,0.0
140,144.0,5.0,1,0.641118309,0.0
141,145.0,1.0,0,0.663581778,0.0
142,146.0,3.0,1,0.678981567,0.0
143,147.0,3.0,1,0.80006222,0.0
144,148.0,2.0,1,0.86772324,0.0
145,149.0,4.0,1,0.810416324,1.0
146,150.0,1.0,0,0.857767772,0.0
147,151.0,1.0,0,0.623974419,0.0
148,152.0,1.0,0,0.76989954,0.0
149,153.0,3.0,2,0.8771725,0.0
150,154.0,3.0,1,0.631246256,0.0
151,155.0,2.0,1,0.653012104,0.0
152,156.0,4.0,1,0.893813539,1.0
153,157.0,3.0,1,0.811752081,0.0
154,158.0,1.0,0,0.724703471,0.0
155,159.0,2.0,1,0.853535011,0.0
156,160.0,6.0,1,0.740233875,0.0
157,161.0,3.0,1,0.830281561,0.0
158,162.0,3.0,1,0.854948082,0.0
159,163.0,3.0,1,0.741029431,0.0
160,164.0,2.0,1,0.72343102,1.0
161,165.0,5.0,1,0.623208568,0.0
162,166.0,1.0,0,0.704659677,0.0
163,167.0,3.0,1,0.86945707,0.0
164,168.0,5.0,1,0.754717018,1.0
165,169.0,3.0,1,0.711760913,0.0
166,170.0,4.0,1,0.834270278,0.0
167,171.0,1.0,0,0.659554302,0.0
168,172.0,1.0,0,0.7119278,0.0
169,173.0,3.0,1,0.723030183,0.0
170,174.0,10.0,1,0.600993004,0.0
171,175.0,4.0,1,0.688778132,0.0
172,176.0,4.0,1,0.851717268,0.0
173,177.0,2.0,1,0.781230287,0.0
174,178.0,2.0,1,0.745336621,0.0
175,179.0,2.0,1,0.84043797,0.0
176,180.0,2.0,1,0.611636674,0.0
177,181.0,6.0,1,0.898344868,0.0
178,182.0,4.0,1,0.885387838,1.0
179,183.0,3.0,1,0.691945448,0.0
180,184.0,3.0,1,0.903147775,0.0
181,185.0,2.0,1,0.653506396,0.0
182,186.0,3.0,1,0.800037754,0.0
183,187.0,3.0,1,0.807740854,0.0
184,189.0,2.0,1,0.88541964,0.0
185,190.0,8.0,2,0.619773131,0.0
186,191.0,4.0,1,0.65949427,0.0
187,192.0,1.0,1,0.888133742,0.0
188,193.0,3.0,1,0.690362025,0.0
189,194.0,5.0,1,0.740983875,1.0
190,195.0,4.0,1,0.827275904,0.0
191,197.0,6.0,1,0.716744302,0.0
192,198.0,2.0,1,0.696343463,0.0
193,199.0,1.0,0,0.890794749,0.0
194,200.0,2.0,1,0.684611462,0.0
195,201.0,2.0,1,0.797929351,0.0
196,202.0,2.0,1,0.656978689,0.0
197,203.0,3.0,1,0.732622461,0.0
198,204.0,4.0,1,0.675985473,1.0
199,205.0,3.0,1,0.746771723,0.0
200,206.0,4.0,2,0.861974479,1.0
201,207.0,3.0,1,0.662764661,0.0
202,208.0,3.0,1,0.614927171,1.0
203,209.0,4.0,1,0.729116896,0.0
204,210.0,1.0,0,0.602929384,0.0
205,212.0,3.0,1,0.801501196,0.0
206,213.0,3.0,1,0.864106328,0.0
207,214.0,5.0,1,0.678207946,0.0
208,215.0,5.0,2,0.887061759,0.0
209,216.0,3.0,1,0.800711864,0.0
210,217.0,5.0,1,0.630336088,0.0
211,218.0,5.0,1,0.717339357,0.0
212,219.0,2.0,1,0.660927154,0.0
